Id,Churn,Genero,Tiene +60,Posee_pareja,Posee_dependientes,Tiempo_contrato,Servicio_telefono,Multiples_lineas,Tipo_internet,Seguridad_online,Backup_online,Proteccion_dispositivo,Soporte_tecnico,Streaming_tv,Streaming_peliculas,Tipo_contrato,Factura_digital,Metodo_pago,Valor_mensual,Total_cobrado,Cuentas_Diarias
0002-ORFBO,No,Femenino,0,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Un año,Si,Cheque por correo,65.6,593.3,2.19
0003-MKNFE,No,Masculino,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mes a mes,No,Cheque por correo,59.9,542.4,2.0
0004-TLHLJ,Si,Masculino,0,No,No,4,Si,No,Fibra optica,No,No,Si,No,No,No,Mes a mes,Si,Cheque electrónico,73.9,280.85,2.46
0011-IGKFF,Si,Masculino,1,Si,No,13,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,98.0,1237.85,3.27
0013-EXCHZ,Si,Femenino,1,Si,No,3,Si,No,Fibra optica,No,No,No,Si,Si,No,Mes a mes,Si,Cheque por correo,83.9,267.4,2.8
0013-MHZWF,No,Femenino,0,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito,69.4,571.45,2.31
0013-SMEOE,No,Femenino,1,Si,No,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,109.7,7904.25,3.66
0014-BMAQU,No,Masculino,0,Si,No,63,Si,Si,Fibra optica,Si,No,No,Si,No,No,Dos años,Si,Tarjeta de crédito,84.65,5377.8,2.82
0015-UOCOJ,No,Femenino,1,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,48.2,340.35,1.61
0016-QLJIS,No,Femenino,0,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque por correo,90.45,5957.9,3.02
0017-DINOC,No,Masculino,0,No,No,54,No,No,DSL,Si,No,No,Si,Si,No,Dos años,No,Tarjeta de crédito,45.2,2460.55,1.51
0017-IUDMW,No,Femenino,0,Si,Si,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,116.8,8456.75,3.89
0018-NYROU,No,Femenino,0,Si,No,5,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,68.95,351.5,2.3
0019-EFAEP,No,Femenino,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos años,Si,Transferencia bancaria,101.3,7261.25,3.38
0019-GFNTW,No,Femenino,0,No,No,56,No,No,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria,45.05,2560.1,1.5
0020-INWCK,No,Femenino,0,Si,Si,71,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Dos años,Si,Tarjeta de crédito,95.75,6849.4,3.19
